#	"#" means comments (not analyzed by the program). Each element must be separated but a tab character (\t)
#	position (vector)	 velocity (vector)	 acceleration(vector)	 mass (float)	 maxVelocity (float)	maxAcceleration (float)	 maxForce(float)
1	2	3	11	22	33	111	222	333	1	1	1	1
2	3	4	11	22	33	111	222	333	1	1	1	1
3	4	5	11	22	33	111	222	333	1	1	1	1
4	5	6	11	22	33	111	222	333	1	1	1	1
5	6	7	11	22	33	111	222	333	1	1	1	1
6	7	8	11	22	33	111	222	333	1	1	1	1
7	8	9	11	22	33	111	222	333	1	1	1	1
8	9	10	11	22	33	111	222	333	1	1	1	1
9	10	11	11	22	33	111	222	333	1	1	1	1
10	11	12	11	22	33	111	222	333	1	1	1	1
10	11	12	11	22	33	111	222	333	1	1	1	1
